quantity,price,mon,tues,wed,thurs,speed2,wave2,speed3,wave3,time
4080.0,0.7002859711647034,1.0,0.0,0.0,0.0,15.0,7.5,20.0,9.0,1.0
3466.0,1.0053359270095825,0.0,0.0,1.0,0.0,10.0,5.0,20.0,7.5,2.0
2295.0,1.3939177989959717,0.0,0.0,0.0,1.0,10.0,6.0,20.0,4.0,3.0
1870.0,1.7754868268966675,0.0,0.0,0.0,0.0,15.0,6.0,20.0,5.0,4.0
6885.0,0.826798677444458,1.0,0.0,0.0,0.0,10.0,3.5,20.0,3.5,5.0
5605.0,0.8897830247879028,0.0,1.0,0.0,0.0,15.0,4.5,15.0,3.5,6.0
4959.0,0.791970431804657,0.0,0.0,1.0,0.0,10.0,4.5,20.0,3.5,7.0
2185.0,0.9264759421348572,0.0,0.0,0.0,1.0,10.0,4.0,20.0,4.5,8.0
9320.0,0.7001003623008728,0.0,0.0,0.0,0.0,10.0,4.0,15.0,4.5,9.0
6793.0,1.4921836853027344,1.0,0.0,0.0,0.0,20.0,12.5,20.0,3.5,10.0
1925.0,1.5772730112075806,0.0,1.0,0.0,0.0,15.0,9.0,45.0,12.5,11.0
2470.0,1.4657355546951294,0.0,0.0,1.0,0.0,15.0,7.5,30.0,12.5,12.0
8817.0,1.3170980215072632,0.0,0.0,0.0,1.0,10.0,4.5,25.0,9.0,13.0
4665.0,1.2339164018630981,0.0,0.0,0.0,0.0,10.0,4.5,20.0,7.5,14.0
7240.0,0.9309278726577759,1.0,0.0,0.0,0.0,10.0,6.0,25.0,4.0,15.0
3790.0,0.8442479968070984,0.0,1.0,0.0,0.0,10.0,4.0,25.0,6.0,16.0
2030.0,1.2743487358093262,0.0,0.0,1.0,0.0,15.0,8.0,15.0,6.0,17.0
2885.0,1.168601632118225,0.0,0.0,0.0,1.0,15.0,8.0,20.0,4.0,18.0
1200.0,1.119791865348816,0.0,0.0,0.0,0.0,15.0,7.5,35.0,8.0,19.0
170.0,1.0882352590560913,1.0,0.0,0.0,0.0,20.0,5.5,20.0,5.0,20.0
1100.0,1.25,0.0,1.0,0.0,0.0,15.0,5.5,30.0,4.5,21.0
2480.0,0.9413306713104248,0.0,0.0,1.0,0.0,10.0,3.0,25.0,5.5,22.0
6115.0,0.6224011182785034,0.0,0.0,0.0,1.0,10.0,3.5,20.0,5.5,23.0
6785.0,0.4690493643283844,0.0,0.0,0.0,0.0,10.0,5.0,20.0,3.0,24.0
2780.0,0.4778777062892914,1.0,0.0,0.0,0.0,15.0,5.5,35.0,6.0,25.0
1780.0,0.48595505952835083,0.0,1.0,0.0,0.0,15.0,4.0,20.0,6.0,26.0
2110.0,0.5773894190788269,0.0,0.0,1.0,0.0,15.0,3.0,25.0,5.5,27.0
4705.0,0.5389023423194885,0.0,0.0,0.0,1.0,10.0,2.5,15.0,4.0,28.0
2650.0,0.5853459239006042,0.0,0.0,0.0,0.0,10.0,2.5,15.0,3.0,29.0
6845.0,0.6489308476448059,1.0,0.0,0.0,0.0,25.0,8.0,20.0,3.0,30.0
1070.0,0.3797508180141449,0.0,1.0,0.0,0.0,15.0,8.0,35.0,8.0,31.0
785.0,0.7003980875015259,0.0,0.0,1.0,0.0,12.0,6.5,35.0,8.0,32.0
3445.0,1.4750362634658813,0.0,0.0,0.0,1.0,12.0,6.5,25.0,8.0,33.0
5905.0,1.4238762855529785,0.0,0.0,0.0,0.0,10.0,6.5,18.0,6.5,34.0
3460.0,1.387986660003662,1.0,0.0,0.0,0.0,15.0,6.5,20.0,3.5,35.0
1090.0,1.6081037521362305,0.0,1.0,0.0,0.0,10.0,6.5,25.0,5.0,36.0
4460.0,1.2451363801956177,0.0,0.0,1.0,0.0,10.0,4.5,30.0,6.5,37.0
6060.0,0.9782866835594177,0.0,0.0,0.0,1.0,15.0,4.5,15.0,6.5,38.0
9655.0,0.5660215020179749,0.0,0.0,0.0,0.0,10.0,5.0,20.0,4.5,39.0
7880.0,0.4288102388381958,0.0,1.0,0.0,0.0,10.0,4.5,20.0,3.0,40.0
1995.0,0.29026737809181213,0.0,0.0,1.0,0.0,10.0,5.0,25.0,4.5,41.0
3080.0,0.4145408272743225,0.0,0.0,0.0,1.0,12.0,5.0,15.0,4.5,42.0
5525.0,0.45087429881095886,0.0,0.0,0.0,0.0,12.0,4.0,18.0,5.0,43.0
2220.0,0.5252252221107483,1.0,0.0,0.0,0.0,5.0,4.0,20.0,4.0,44.0
1520.0,0.44649121165275574,0.0,1.0,0.0,0.0,10.0,5.5,10.0,3.5,45.0
1875.0,0.7994413375854492,0.0,0.0,1.0,0.0,15.0,6.0,15.0,4.0,46.0
1425.0,1.2106237411499023,0.0,0.0,0.0,1.0,15.0,8.0,25.0,5.5,47.0
2480.0,1.2693382501602173,0.0,0.0,0.0,0.0,15.0,8.0,25.0,6.0,48.0
2975.0,1.11978280544281,1.0,0.0,0.0,0.0,15.0,6.0,20.0,4.0,49.0
1710.0,1.0588626861572266,0.0,1.0,0.0,0.0,10.0,4.5,30.0,6.0,50.0
7140.0,0.7711436152458191,0.0,0.0,1.0,0.0,10.0,4.5,15.0,6.0,51.0
6860.0,0.7825780510902405,0.0,0.0,0.0,1.0,5.0,4.0,20.0,4.5,52.0
4773.0,0.5995181202888489,0.0,0.0,0.0,0.0,5.0,3.5,20.0,4.5,53.0
9600.0,0.4378819167613983,1.0,0.0,0.0,0.0,10.0,5.5,15.0,3.5,54.0
7240.0,0.6192383766174316,0.0,1.0,0.0,0.0,10.0,3.5,30.0,5.5,55.0
2860.0,0.7906837463378906,0.0,0.0,1.0,0.0,10.0,5.0,15.0,5.5,56.0
5975.0,0.7318745255470276,0.0,0.0,0.0,1.0,20.0,6.5,15.0,3.5,57.0
2070.0,0.6884325742721558,0.0,0.0,0.0,0.0,25.0,6.5,25.0,5.0,58.0
4540.0,0.6255261898040771,1.0,0.0,0.0,0.0,15.0,3.5,20.0,6.5,59.0
6070.0,0.5584529042243958,0.0,1.0,0.0,0.0,15.0,4.0,20.0,4.0,60.0
1250.0,0.9580000042915344,0.0,0.0,1.0,0.0,15.0,5.0,20.0,3.5,61.0
2805.0,1.117256999015808,0.0,0.0,0.0,1.0,10.0,5.0,15.0,4.0,62.0
4510.0,0.5969260334968567,0.0,0.0,0.0,0.0,10.0,8.0,25.0,5.0,63.0
1285.0,0.9217898845672607,1.0,0.0,0.0,0.0,5.0,3.0,18.0,8.0,64.0
1830.0,0.7478415369987488,0.0,1.0,0.0,0.0,5.0,7.0,20.0,3.5,65.0
2480.0,0.6410685777664185,0.0,0.0,1.0,0.0,15.0,7.0,10.0,3.0,66.0
8665.0,0.6135297417640686,0.0,0.0,0.0,1.0,10.0,4.0,25.0,7.0,67.0
1870.0,0.8134199380874634,0.0,0.0,0.0,0.0,10.0,5.0,20.0,7.0,68.0
1140.0,1.178070306777954,1.0,0.0,0.0,0.0,25.0,8.0,35.0,6.5,69.0
1050.0,1.184761643409729,0.0,1.0,0.0,0.0,10.0,6.5,35.0,8.0,70.0
4270.0,0.8080991506576538,0.0,0.0,1.0,0.0,10.0,4.0,35.0,8.0,71.0
8590.0,0.6389915943145752,0.0,0.0,0.0,1.0,10.0,4.0,15.0,6.5,72.0
9460.0,0.5489654541015625,0.0,0.0,0.0,0.0,10.0,4.0,15.0,4.0,73.0
4032.0,0.6763517260551453,1.0,0.0,0.0,0.0,10.0,4.0,20.0,4.0,74.0
875.0,0.6471428871154785,0.0,1.0,0.0,0.0,10.0,4.0,15.0,4.0,75.0
10940.0,0.5379647016525269,0.0,0.0,1.0,0.0,10.0,3.0,20.0,4.0,76.0
3125.0,0.6930959820747375,0.0,0.0,0.0,1.0,10.0,3.0,15.0,4.0,77.0
4470.0,0.6698369979858398,0.0,0.0,0.0,0.0,10.0,3.0,15.0,3.0,78.0
4520.0,0.7205088138580322,1.0,0.0,0.0,0.0,15.0,3.5,15.0,3.0,79.0
1610.0,0.6862022876739502,0.0,1.0,0.0,0.0,15.0,4.0,25.0,3.0,80.0
370.0,0.7581081390380859,0.0,0.0,1.0,0.0,5.0,4.0,25.0,3.5,81.0
7170.0,0.7289923429489136,0.0,0.0,0.0,1.0,5.0,3.0,25.0,4.0,82.0
5640.0,0.7867626547813416,0.0,0.0,0.0,0.0,10.0,4.0,10.0,4.0,83.0
5860.0,0.7492321133613586,0.0,1.0,0.0,0.0,10.0,4.0,15.0,4.0,84.0
2950.0,0.8916825652122498,0.0,0.0,1.0,0.0,10.0,3.0,15.0,4.0,85.0
5850.0,0.858666718006134,0.0,0.0,0.0,1.0,10.0,5.0,15.0,4.0,86.0
10780.0,0.5943912863731384,0.0,0.0,0.0,0.0,10.0,5.0,15.0,3.0,87.0
3060.0,0.6315441131591797,1.0,0.0,0.0,0.0,10.0,3.5,18.0,3.0,88.0
2520.0,0.5694444179534912,0.0,1.0,0.0,0.0,10.0,3.0,15.0,3.5,89.0
4390.0,0.4517463743686676,0.0,0.0,1.0,0.0,10.0,3.0,15.0,3.5,90.0
6940.0,0.4080619513988495,0.0,0.0,0.0,1.0,10.0,3.0,15.0,3.0,91.0
6600.0,0.312733918428421,0.0,0.0,0.0,0.0,10.0,3.5,15.0,3.0,92.0
3450.0,0.4294081926345825,1.0,0.0,0.0,0.0,15.0,4.5,15.0,3.5,93.0
1230.0,0.9077235460281372,0.0,1.0,0.0,0.0,12.0,4.5,25.0,4.0,94.0
1250.0,1.2385711669921875,0.0,0.0,1.0,0.0,12.0,5.0,25.0,4.5,95.0
3980.0,1.25,0.0,0.0,0.0,1.0,15.0,6.0,18.0,4.5,96.0
3780.0,1.7257583141326904,0.0,0.0,0.0,0.0,15.0,9.0,20.0,5.0,97.0
